subject	condition	isRight	leftIsRight	rightIsRight	isPartRight	leftIsPartRight	rightIsPartRight	isNormRight	isNormLeftRight	isNormRightRight	problem	leftResp	rightResp	exampleSortMoves	sortMoves	sortTime	sortAcc	testAcc	testTime	aveUniqueCWordNBPercentCor	aveCWordLengthNBCor	origAcc
p29024	active	1	1	1	1	1	1	0	0	0	pbp09	moving away or towards each other	moving in same direction or not at all	12	18	61602	0.666666667	1	30568	0.285384331	4.25	0.285714286
p312732	passive	0	0	0	1	1	1	0	0	0	pbp18	Objects moved away from each other	Objects tried to group up	17	19	49361	0.631578947	0.375	63297	0.304831933	3.2375	0.208333333
p314287	active	1	1	1	1	1	1	1	1	1	pbp02	A single shape	Two shapes	12	15	52066	0.8	1	23258	0.322265492	2.630434783	0.875
p330565	passive	1	1	1	1	1	1	0	0	0	pbp13	When stacked there is no empty space between shapes	When stacked there is empty space between shapes.	15	13	47395	0.923076923	0.75	21822	0.508420209	3.46	0.115384615
p33106	passive	1	1	1	1	1	1	0	0	0	pbp13	solid structures	suspended structure	15	19	99617	0.631578947	0.75	56754	0.508420209	3.46	0.115384615
p336752	passive	1	1	1	1	1	1	1	1	1	pbp11b	The shapes are close together	The shapes are farther apart	14	13	57050	0.923076923	0.875	36571	0.327441706	2.820512821	0.380952381
p340764	active	0	0	0	0	0	0	0	0	0	pbp24	follow numeric puzzle	Subtract 1	14	19	56686	0.631578947	0.25	81021	0.307647059	4.455882353	0.173913043
p341288	active	1	1	1	1	1	1	1	1	1	pbp02	There is only one shape in each scene	There are two shapes in each scene	12	14	93638	0.857142857	1	24299	0.322265492	2.630434783	0.875
p342634	passive	1	1	1	1	1	1	1	1	1	pbp04	squares	circles	15	15	38280	0.8	1	33961	0.34939759	2.075	0.625
p34646	active	1	1	1	1	1	1	0	0	0	pbp09	Two objects fall different ways	Two objects fall the same way	12	16	109239	0.75	1	48845	0.285384331	4.25	0.285714286
p353262	passive	0	0	0	0	0	0	0	0	0	pbp26	The circle rises 	The circle falls	14	17	142796	0.705882353	0.625	33394	0.298013041	2.965116279	0.35
p357739	active	1	1	1	1	1	1	1	1	1	pbp26	the circular object is falling from left to right	the circular object is falling from right to left	13	14	49872	0.857142857	1	56355	0.298013041	2.965116279	0.35
p365592	passive	0	0	0	0	0	0	0	0	0	pbp18	falling left	falling right	14	19	63924	0.631578947	0.5	35681	0.304831933	3.2375	0.208333333
p369219	active	1	1	1	1	1	1	1	1	1	pbp28	can easily roll	cannot easily roll	13	16	114540	0.75	0.875	28124	0.55625	3.75	0.52173913
p376539	passive	1	1	1	1	1	1	1	1	1	pbp18	Objects would stop/stay touching each other.	Objects would stop in a position where they are not all touching.	12	16	73218	0.75	0.875	60546	0.304831933	3.2375	0.208333333
p387814	passive	0	0	0	0	0	0	0	0	0	pbp02	The images were a reflection of each other.	The shapes got closer together.	17	16	47512	0.75	1	50746	0.322265492	2.630434783	0.875
p410663	active	1	1	1	1	1	1	1	1	1	pbp26	the ball goes right	the ball goes left	14	16	84335	0.75	0.875	61717	0.298013041	2.965116279	0.35
p414573	active	0	0	0	0	0	0	0	0	0	pbp24	straight lines- same direction	crooked lines or going in 2 directions	17	18	97171	0.666666667	0.75	41176	0.307647059	4.455882353	0.173913043
p417639	active	1	1	1	1	1	1	1	1	1	pbp28	will roll	wont roll	12	18	96190	0.666666667	0.875	52892	0.55625	3.75	0.52173913
p418039	active	0	0	0	1	1	1	0	0	0	pbp24	objects falling straight down	objects falling at an angle	22	19	153027	0.631578947	0.25	96833	0.307647059	4.455882353	0.173913043
p418705	active	1	1	1	1	1	1	1	1	1	pbp02	one item	two items	12	14	27808	0.857142857	1	20727	0.322265492	2.630434783	0.875
p4287	active	1	1	1	1	1	1	1	1	1	pbp09	will go in opposite direction	will go in same direction	13	15	48153	0.8	1	38586	0.285384331	4.25	0.285714286
p428771	passive	1	1	1	1	1	1	0	0	0	pbp13	there were no spaces between blocks	there were spaces between blocks	17	13	74102	0.923076923	0.75	39360	0.508420209	3.46	0.115384615
p429322	passive	0	0	0	1	1	1	0	0	0	pbp26	the opposite of the side the circle would fall or roll down on	"the circle would fall or roll right so I would categorize to the left, the opposite"	14	13	92694	0.923076923	0.875	57603	0.298013041	2.965116279	0.35
p436885	active	0	0	0	1	1	1	0	0	0	pbp26	Rightward movement.	Leftward movement.	13	15	121384	0.8	0.625	36676	0.298013041	2.965116279	0.35
p440979	active	1	1	0	1	1	1	0	0	0	pbp19	falling	not falling	12	13	104184	0.923076923	0.875	38884	0.490123457	3.480769231	0.15
p449323	passive	1	1	1	1	1	1	0	0	0	pbp11b	Touching or will touch	Not touching	12	15	49701	0.8	1	33427	0.327441706	2.820512821	0.380952381
p453215	active	0	1	0	1	1	1	0	1	0	pbp28	Objects that roll smoothly	Objects that bounce when they roll	12	20	109596	0.6	0.625	82099	0.55625	3.75	0.52173913
p454658	passive	0	0	0	0	0	0	0	0	0	pbp24	"to the left, I guess. I looked at the line for some of these "	to the right. Looked at the line to decide	15	16	62824	0.75	0.375	186608	0.307647059	4.455882353	0.173913043
p458374	passive	1	1	1	1	1	1	1	1	1	pbp09	objects fall / move in different direction	objects fall / move in the same direction	12	15	67865	0.8	1	31406	0.285384331	4.25	0.285714286
p463859	active	1	1	1	1	1	1	1	1	1	pbp26	The circle would fall to the right.	The circle would fall to the left.	15	13	69602	0.923076923	1	42396	0.298013041	2.965116279	0.35
p471513	passive	0	0	0	0	0	0	0	0	0	pbp26	mostly left facing	Mostly right	20	13	21243	0.923076923	0.875	17865	0.298013041	2.965116279	0.35
p478301	active	0	0	0	0	0	0	0	0	0	pbp09	Fall and seperate	Fall and end up together	12	15	54101	0.8	0.5	50083	0.285384331	4.25	0.285714286
p478708	active	1	1	1	1	1	1	0	0	0	pbp13	solid base	separated base	12	13	54780	0.923076923	1	25763	0.508420209	3.46	0.115384615
p488570	passive	1	1	1	1	1	1	1	1	1	pbp28	will roll	will not roll	12	14	88000	0.857142857	0.75	52078	0.55625	3.75	0.52173913
p491375	active	1	1	1	1	1	1	1	1	1	pbp16	circle was on the left side	circle was on the right side	13	13	72744	0.923076923	1	25050	0.355523072	3.214285714	0.47826087
p49727	passive	1	1	1	1	1	1	1	1	1	pbp02	one object	two objects	13	14	34215	0.857142857	1	24641	0.322265492	2.630434783	0.875
p502632	passive	1	1	1	1	1	1	1	1	1	pbp04	Contained rectangles	Contained circles	12	12	42004	1	1	21465	0.34939759	2.075	0.625
p505046	passive	0	0	0	0	0	0	0	0	0	pbp19	Higher velocity	Lower velocity	13	16	147613	0.75	0.75	75944	0.490123457	3.480769231	0.15
p506544	active	0	0	0	0	0	0	0	0	0	pbp18	A sense of movement towards the middle	Movement to the sides	14	21	93441	0.571428571	0.5	84610	0.304831933	3.2375	0.208333333
p511173	active	0	0	0	0	0	0	0	0	0	pbp18	I cannot figure this out	I cannot figure this out.	13	16	42063	0.75	0.625	64561	0.304831933	3.2375	0.208333333
p514243	active	0	0	0	0	0	0	0	0	0	pbp13	flat surface	pivoted on something	15	15	38398	0.8	0.5	21932	0.508420209	3.46	0.115384615
p519544	active	1	1	1	1	1	1	1	1	1	pbp04	Squares	Circles	15	13	63036	0.923076923	0.875	35807	0.34939759	2.075	0.625
p525386	passive	1	1	1	1	1	1	1	1	1	pbp28	they will continue to move	will not continue to move	13	19	237157	0.631578947	0.875	35802	0.55625	3.75	0.52173913
p529170	passive	0	0	0	1	1	1	0	0	0	pbp24	Everything was balanced naturally on straight lines.	Things were off balance.	13	16	44655	0.75	0.625	55180	0.307647059	4.455882353	0.173913043
p530007	active	0	0	0	0	0	0	0	0	0	pbp19	i dont know	i dont know	12	17	99724	0.705882353	0.625	83979	0.490123457	3.480769231	0.15
p530291	passive	0	0	0	0	0	0	0	0	0	pbp26	unbalanced	balanced	15	18	52947	0.666666667	0.25	43202	0.298013041	2.965116279	0.35
p546232	active	1	1	1	1	1	1	1	1	1	pbp04	Squares	Circles	12	13	24843	0.923076923	1	21537	0.34939759	2.075	0.625
p547217	active	1	1	1	1	1	1	1	1	1	pbp28	Rolls easily	Doesn't roll smoothly	12	14	65858	0.857142857	1	39685	0.55625	3.75	0.52173913
p556940	active	1	1	1	1	1	1	0	0	0	pbp13	The blocks are touching with no blank space between them.	The blocks have some open blank space between at least some of them. 	12	16	98291	0.75	0.75	57764	0.508420209	3.46	0.115384615
p560737	active	1	1	1	1	1	1	1	1	1	pbp11b	Something is or will be touching	nothing is or will be touching 	12	16	45940	0.75	0.875	37991	0.327441706	2.820512821	0.380952381
p572452	passive	0	0	0	0	0	0	0	0	0	pbp13	imgages are stable	images are unstable	13	16	72318	0.75	0.75	64504	0.508420209	3.46	0.115384615
p5732	passive	0	0	0	0	0	0	0	0	0	pbp28	the cogwheel shape	the different sort of shapes	17	18	56000	0.666666667	0.625	19901	0.55625	3.75	0.52173913
p575300	active	0	0	0	0	0	0	0	0	0	pbp19	In motion	Not in motion	15	16	83825	0.75	0.625	94289	0.490123457	3.480769231	0.15
p577681	active	0	0	0	0	0	0	0	0	0	pbp13	the blacks get smaller	they get bigger	19	22	72432	0.545454545	0.375	50508	0.508420209	3.46	0.115384615
p587160	passive	0	0	0	0	0	0	0	0	0	pbp11b	how they were falling	how they were falling	15	18	45208	0.666666667	0.5	30782	0.327441706	2.820512821	0.380952381
p59581	active	1	1	1	1	1	1	1	1	1	pbp16	circles is always on the right	circle is always on the left	18	13	47398	0.923076923	1	41349	0.355523072	3.214285714	0.47826087
p599588	active	0	0	0	0	0	0	0	0	0	pbp24	1	4	16	16	22404	0.75	0.25	15973	0.307647059	4.455882353	0.173913043
p601496	active	0	0	0	0	0	0	0	0	0	pbp04	objects on the left will not roll	objects on right will roll	13	14	79803	0.857142857	1	50706	0.34939759	2.075	0.625
p602010	passive	0	0	0	0	0	0	0	0	0	pbp19	Going left or falling straight down	Going right or staying still	12	15	51176	0.8	0.625	36350	0.490123457	3.480769231	0.15
p605834	passive	1	1	1	1	1	1	1	1	1	pbp11b	objects spaced pretty close together	objects have more distance between them	15	12	87272	1	0.875	47802	0.327441706	2.820512821	0.380952381
p605870	passive	0	0	0	1	1	1	0	0	0	pbp24	Object above centered over object below.	Object above offset from object below.	12	19	95976	0.631578947	0.75	71519	0.307647059	4.455882353	0.173913043
p610205	active	1	1	1	1	1	1	1	1	1	pbp26	Circle falling to the right	Circle to the left	15	18	48299	0.666666667	0.25	36094	0.298013041	2.965116279	0.35
p620961	passive	0	0	0	0	0	0	0	0	0	pbp09	will touch each other	will not touch each other	12	16	65263	0.75	0.5	56898	0.285384331	4.25	0.285714286
p635377	passive	0	0	0	0	0	0	0	0	0	pbp19	More than one movement	Only one motion	12	15	135758	0.8	0.75	195495	0.490123457	3.480769231	0.15
p637360	active	1	1	1	1	1	1	0	0	1	pbp11b	combination	separation	16	18	48610	0.666666667	0.5	22016	0.327441706	2.820512821	0.380952381
p637885	passive	1	1	1	1	1	1	1	1	1	pbp11b	shapes together	shapes apart	19	20	69308	0.6	0.875	40012	0.327441706	2.820512821	0.380952381
p646106	passive	0	0	0	0	0	0	0	0	0	pbp19	I could visualize the animation	Appears to fit well	24	18	51409	0.666666667	0.625	35457	0.490123457	3.480769231	0.15
p649677	active	1	1	1	1	1	1	0	1	0	pbp04	 on the left the images were square	on the right the images were round	18	17	52206	0.705882353	1	50724	0.34939759	2.075	0.625
p64997	active	1	1	1	1	1	1	1	1	1	pbp28	What could roll.	What would remain stationary	12	15	70889	0.8	0.5	52382	0.55625	3.75	0.52173913
p65768	passive	0	0	0	0	0	0	0	0	0	pbp09	when moved went apart	when moved stayed together	19	19	104124	0.631578947	0.375	97604	0.285384331	4.25	0.285714286
p65882	passive	1	1	1	1	1	1	1	1	1	pbp16	circle first	square first	12	13	61682	0.923076923	1	27245	0.355523072	3.214285714	0.47826087
p659101	active	1	1	1	1	1	1	1	1	1	pbp09	these move in opposite directions  when fall	these move in the same direction when they fall	12	15	178372	0.8	1	70863	0.285384331	4.25	0.285714286
p659460	passive	0	0	0	0	0	0	0	0	0	pbp09	The objects relative positions will change horizontally	Objects relative positions will not change horizontally	13	13	61859	0.923076923	0.75	38640	0.285384331	4.25	0.285714286
p65960	passive	0	0	0	0	0	0	0	0	0	pbp09	The direction that the thickest part of each piece was facing or the curve of the hill	the direction they were leaning or the curve of the hill or guess	12	18	60119	0.666666667	0.625	64515	0.285384331	4.25	0.285714286
p662342	passive	0	0	0	0	0	0	0	0	0	pbp09	I try to imagine the figure moving.	I think about the direction of the scene.	19	16	42778	0.75	0.25	21511	0.285384331	4.25	0.285714286
p662426	active	1	1	1	1	1	1	1	1	1	pbp16	the ball is to the left of the square	the ball is to the right of the square	15	18	43590	0.666666667	0.375	30643	0.355523072	3.214285714	0.47826087
p665907	active	0	0	0	0	0	0	0	0	0	pbp11b	the way they were falling	the way they were falling	14	17	27103	0.705882353	0.625	20323	0.327441706	2.820512821	0.380952381
p666704	passive	1	1	1	1	1	1	1	1	1	pbp16	circle is left of square	circle is right of square	12	14	68378	0.857142857	0.875	42805	0.355523072	3.214285714	0.47826087
p677260	passive	1	1	1	1	1	1	1	1	1	pbp16	Circle is to the left of the square.	Circle is to the right of the square.	12	13	63752	0.923076923	1	29420	0.355523072	3.214285714	0.47826087
p678784	active	0	0	0	0	0	0	0	0	0	pbp02			22	17	45600	0.705882353	0.25	76057	0.322265492	2.630434783	0.875
p680792	passive	1	1	1	1	1	1	0	0	0	pbp26	Circle to the right of square	Circle to the left of square	17	15	33892	0.8	0.25	32427	0.298013041	2.965116279	0.35
p68265	active	1	1	1	1	1	1	1	1	1	pbp26	the circle heading right	the circle heading left	14	16	84294	0.75	0.75	53094	0.298013041	2.965116279	0.35
p683644	passive	0	0	0	0	0	0	0	0	0	pbp11b	seemed to fall left	seemed to go right	16	17	40578	0.705882353	0.125	31924	0.327441706	2.820512821	0.380952381
p684834	active	1	1	1	1	1	1	1	1	1	pbp11b	they are all close together	they are all farther apart	17	16	36444	0.75	1	33316	0.327441706	2.820512821	0.380952381
p687121	passive	1	1	1	1	1	1	1	1	1	pbp02	one object in scene	two objects in scene	14	14	47686	0.857142857	1	28495	0.322265492	2.630434783	0.875
p688136	active	1	1	1	1	1	1	1	1	1	pbp09	these objects seem to be moving in opposite directions	these objects seem to be moving in the same direction	20	17	254403	0.705882353	0.5	112226	0.285384331	4.25	0.285714286
p690447	active	0	0	0	0	0	0	0	0	0	pbp18	flat and down	flat and up	13	18	178139	0.666666667	0.375	42654	0.304831933	3.2375	0.208333333
p693728	active	0	0	0	0	0	0	0	0	0	pbp13	Not sure	guessed	12	17	56243	0.705882353	0	68769	0.508420209	3.46	0.115384615
p700462	passive	1	1	1	1	1	1	1	1	1	pbp02	there is one object	there are 2 objects	17	15	35301	0.8	1	23403	0.322265492	2.630434783	0.875
p704917	active	0	0	0	0	0	0	0	0	0	pbp11b	fall in the center	fall to the sides	15	18	48064	0.666666667	0.375	27761	0.327441706	2.820512821	0.380952381
p709443	passive	0	0	0	0	0	0	0	0	0	pbp13	Shapes are unlikely to fall.	Shapes are unstable/easy to fall.	15	15	130632	0.8	0.75	81831	0.508420209	3.46	0.115384615
p716057	passive	0	0	0	1	1	1	0	0	0	pbp24	centered and vertically straight	not centered and asymmetical	13	20	99465	0.6	0.75	82041	0.307647059	4.455882353	0.173913043
p717319	passive	1	1	1	1	1	1	1	1	1	pbp02	Only one item appeared in the scenes.	Two items appeared in the scenes.	15	12	57066	1	1	42737	0.322265492	2.630434783	0.875
p718290	active	1	1	1	1	1	1	1	1	1	pbp28	able to move by being rolled around	not able to be rolled around	12	16	117784	0.75	0.875	88009	0.55625	3.75	0.52173913
p718862	active	1	1	1	1	1	1	1	1	1	pbp09	Will fall/move in opposite direction.	Will fall/move in the same direction.	12	13	58308	0.923076923	1	38167	0.285384331	4.25	0.285714286
p719234	passive	0	0	0	0	0	0	0	0	0	pbp18	shapes falling downward	shapes moving upward	16	18	118766	0.666666667	0.25	78398	0.304831933	3.2375	0.208333333
p722056	active	0	0	0	0	0	0	0	0	0	pbp18	the angles	the angles facing another way	13	14	60161	0.857142857	0.5	51469	0.304831933	3.2375	0.208333333
p723161	passive	0	0	1	1	0	1	0	0	1	pbp19	floating	on ground	16	20	72125	0.6	0.625	45336	0.490123457	3.480769231	0.15
p726098	active	1	1	1	1	1	1	0	0	1	pbp09	fall differently	fall the same	12	14	59290	0.857142857	0.875	43796	0.285384331	4.25	0.285714286
p729078	active	0	0	0	0	0	0	0	0	0	pbp18	will stop moving	will not stop moving	12	16	66222	0.75	0.375	30813	0.304831933	3.2375	0.208333333
p730971	passive	0	0	0	0	0	0	0	0	0	pbp26	The image went in opposite direction	The image went in the same direction	18	19	91832	0.631578947	0.25	40566	0.298013041	2.965116279	0.35
p762409	active	1	1	1	1	1	1	1	1	1	pbp18	end touching	end not touching	12	19	78032	0.631578947	1	75460	0.304831933	3.2375	0.208333333
p768486	active	0	0	0	0	0	0	0	0	0	pbp24	unknown	unknown	20	16	28721	0.75	0.375	18849	0.307647059	4.455882353	0.173913043
p776084	passive	1	1	1	1	1	1	1	1	1	pbp16	circle on left	square on left 	12	12	56243	1	1	39875	0.355523072	3.214285714	0.47826087
p778760	passive	1	1	1	1	1	1	1	1	1	pbp11b	object proximity close together	object proximity far apart	12	14	63416	0.857142857	1	85985	0.327441706	2.820512821	0.380952381
p784025	active	0	0	0	0	0	0	0	0	0	pbp24	Falls to the left	Falls to the right	12	18	42998	0.666666667	0.625	28627	0.307647059	4.455882353	0.173913043
p786063	passive	1	1	1	1	1	1	1	1	1	pbp28	"Given a little inertia, object will roll indefinitely"	Object would soon stop tumbling	14	18	215410	0.666666667	0.875	85433	0.55625	3.75	0.52173913
p788736	passive	0	0	0	0	0	0	0	0	0	pbp19	objects move to the right	objects move to the left	16	15	76718	0.8	0.375	53466	0.490123457	3.480769231	0.15
p789228	passive	1	1	1	1	1	1	1	1	1	pbp16	Circle comes before square	Square comes before circle	16	12	86671	1	1	59103	0.355523072	3.214285714	0.47826087
p793086	active	0	0	0	0	0	0	0	0	0	pbp28	mainly circles and items that increased in number or size	advancing shapes that are similar shapes that had something taken away or given	15	15	41830	0.8	0.5	45625	0.55625	3.75	0.52173913
p795929	passive	0	0	0	0	0	0	0	0	0	pbp26	unbalanced	balanced 	14	18	69135	0.666666667	0.75	42248	0.298013041	2.965116279	0.35
p815175	active	0	0	0	1	1	0	0	0	0	pbp09	when the object fall they get further or closer to each other	when the objects fall they stay the same distance from each other	12	14	129222	0.857142857	1	71691	0.285384331	4.25	0.285714286
p816279	passive	1	1	1	1	1	1	1	1	1	pbp26	the ball is rolling right of the objects below	the ball is rolling left of the objects below	13	17	84570	0.705882353	0.875	68018	0.298013041	2.965116279	0.35
p817134	active	0	0	0	0	0	0	0	0	0	pbp13	They look alike.	These look alike also.	22	15	68517	0.8	0.625	56722	0.508420209	3.46	0.115384615
p819567	active	0	0	0	1	1	1	0	0	0	pbp24	symmetirical	not symmetrical	15	15	87553	0.8	0.625	69513	0.307647059	4.455882353	0.173913043
p826617	passive	0	0	0	1	1	1	0	0	0	pbp09	symmetrical or movement towards/away from the center	asymmetrical or movement towards one side	13	22	69563	0.545454545	0.625	46111	0.285384331	4.25	0.285714286
p83382	active	1	1	1	1	1	1	1	1	1	pbp02	singular object in frame	two objects in frame	12	13	130510	0.923076923	1	44118	0.322265492	2.630434783	0.875
p841658	active	0	0	0	1	1	1	0	0	0	pbp24	Centered	Off-center	13	20	94234	0.6	0.625	45951	0.307647059	4.455882353	0.173913043
p842105	active	1	1	1	1	1	1	1	1	1	pbp04	Squares	Circles	12	14	50339	0.857142857	1	24843	0.34939759	2.075	0.625
p847573	passive	0	0	0	0	0	0	0	0	0	pbp11b			12	16	423804	0.75	0.5	94541	0.327441706	2.820512821	0.380952381
p848547	passive	1	1	1	1	1	1	1	1	1	pbp02	Single shape	Two shapes	13	17	48504	0.705882353	0.75	36786	0.322265492	2.630434783	0.875
p855227	passive	0	0	0	0	0	0	0	0	0	pbp13	fall to the left	fall to the right	14	16	57883	0.75	0.375	29700	0.508420209	3.46	0.115384615
