ResponseID	StartDate	EndDate	ExLeft	ExRight	exampleIsRight	exclude	Age	Sex	Lang	Lang_TEXT	Education	DO.BR.FL_84	trial	LeftResponse	RightResponse	isRight	isPartRight	leftIsRight	rightIsRight	time1	time2	time3	time4	trialNum	correct	conf	aveCWordLengthNBCor	aveCWordLengthCor	aveWordLengthCor	aveUniqueWordPercent	aveUniqueCWordPercent	aveUniqueCWordNBPercent	aveUniqueWordPercentCor	aveUniqueCWordPercentCor	aveUniqueCWordNBPercentCor
R_3iqDyIwlNYoinow	6/25/15 13:42	6/25/15 13:46	Everything will fall left	Everything will fall right	1	1	22	1	1		3	pbp18|pbp04|pbp19	pbp04	All objects are squares	All objects are circles	1	1	1	1	1.521	1.521	9.464	1	2	1	4	2.075	2.725	3.275	0.353206462	0.323741007	0.399082569	0.312820513	0.275229358	0.34939759
R_3ReJIX9PiATEUaS	6/25/15 13:41	6/25/15 13:48	The objects will fall to the left.	The objects will fall to the right.	1	1	24	2	1		5	pbp09|pbp04|pbp13	pbp04	The objects will not roll.	The objects will roll and move for a longer time than the objects on the left.	0	0	0	0	0	0	24.64	0	2	1	2	2.075	2.725	3.275	0.353206462	0.323741007	0.399082569	0.312820513	0.275229358	0.34939759
R_1CJFrKTQ6yGFNwe	6/25/15 13:47	6/25/15 13:54	Will fall to the left.	Will fall to the right.	1	1	27	1	1		2	pbp11b|pbp16|pbp04	pbp04	The square objects will mostly stay stationary or lose momentum quickly due to their shape	"The circular objects will continue to move, losing momentum more slowly due to their shape"	0	0	0	0	1.405	16.797	50.456	2	3	1	3	2.075	2.725	3.275	0.353206462	0.323741007	0.399082569	0.312820513	0.275229358	0.34939759
R_2qgVdlKpIGhE2lJ	6/25/15 13:55	6/25/15 14:00	fall left	fall right	1	1	32	1	1		4	pbp04|pbp09|pbp24	pbp04	fall right	fall right	0	0	0	0	0	0	43.094	0	1	1	3	2.075	2.725	3.275	0.353206462	0.323741007	0.399082569	0.312820513	0.275229358	0.34939759
R_dmbWo4evVG8bGZH	6/25/15 14:45	6/25/15 14:55	The objects will fall to the left.	The objects will fall to the right.	1	1	51	2	1		3	pbp09|pbp04|pbp24	pbp04	Objects move down.	Object move up.	0	0	0	0	3.374	3.374	84.096	1	2	0	2	2.075	2.725	3.275	0.353206462	0.323741007	0.399082569	0.312820513	0.275229358	0.34939759
R_3qBSCd6bHsYXuxR	6/25/15 14:55	6/25/15 15:02	fall to the left	fall to the right	1	1	35	2	1		3	pbp19|pbp04|pbp09	pbp04	all squares 	all circles	1	1	1	1	0	0	77.712	0	2	1	2	2.075	2.725	3.275	0.353206462	0.323741007	0.399082569	0.312820513	0.275229358	0.34939759
R_1oAtNT1k3yhWlMQ	6/25/15 15:11	6/25/15 15:17	The objects will all fall to the left	The objects will all fall to the right	1	1	19	1	1		3	pbp09|pbp04|pbp13	pbp04	all objects are squares	all objects are circles	1	1	1	1	0	0	8.23	0	2	1	3	2.075	2.725	3.275	0.353206462	0.323741007	0.399082569	0.312820513	0.275229358	0.34939759
R_1roXJM4U9N577LO	6/25/15 15:15	6/25/15 15:23	The figures will fall to the left.	The figures will fall to the right	1	1	53	2	1		4	pbp18|pbp24|pbp04	pbp04	Everything is a square	Everything is a ball	1	1	1	1	0	0	26.05	0	3	1	4	2.075	2.725	3.275	0.353206462	0.323741007	0.399082569	0.312820513	0.275229358	0.34939759
R_1eQnz0Chw2UnT63	6/25/15 15:33	6/25/15 15:41	left scenes' objects will fall to the left.  	Right scenes' objects will fall to the right.	1	1	44	2	1		6	pbp04|pbp19|pbp16	pbp04	"objects are COLLIDING, then combining then moving apart."	"objects are ROLLING, then combining then moving apart."	0	0	0	0	6.17	50.461	59.922	4	1	0	1	2.075	2.725	3.275	0.353206462	0.323741007	0.399082569	0.312820513	0.275229358	0.34939759
R_2eRtcMHWiOqKgkd	6/25/15 15:41	6/25/15 15:44	will fall to the left	will fall to the right	1	1	42	2	1		5	pbp11b|pbp28|pbp04	pbp04	squares	circles	1	1	1	1	0	0	36.133	0	3	0	1	2.075	2.725	3.275	0.353206462	0.323741007	0.399082569	0.312820513	0.275229358	0.34939759
R_3KMAIalgfAZQ010	6/25/15 16:11	6/25/15 16:15	All objects will fall to the left	All object will fall to the right	1	1	30	1	1		6	pbp02|pbp04|pbp24	pbp04	All the objects are squares	All the objects are circles	1	1	1	1	0	0	19.496	0	2	1	2	2.075	2.725	3.275	0.353206462	0.323741007	0.399082569	0.312820513	0.275229358	0.34939759
R_8qa1ReWipvMVZAh	6/25/15 16:13	6/25/15 16:17	the objects will fall to the left	the objects will fall to the right	1	1	26	1	1		6	pbp26|pbp24|pbp04	pbp04	when dropped objects will remain in place	when dropped objects will move	0	0	0	0	0	0	51.565	0	3	1	2	2.075	2.725	3.275	0.353206462	0.323741007	0.399082569	0.312820513	0.275229358	0.34939759
R_1n3FkQQtGpZ4f0Z	6/25/15 16:23	6/25/15 16:28	object falls to right	object falls to left	0	1	33	2	1		6	pbp04|pbp16|pbp26	pbp04	objects tilt to left	objects tilt to right	0	0	0	0	43.166	43.166	44.616	1	1	0	2	2.075	2.725	3.275	0.353206462	0.323741007	0.399082569	0.312820513	0.275229358	0.34939759
R_1LTmwDVq8llkBdm	6/25/15 16:53	6/25/15 17:00	The pieces fall to the left	The pieces fall to the right	1	1	21	1	1		3	pbp04|pbp24|pbp19	pbp04	Have squares	Have circles	1	1	1	1	7.45	7.45	39.55	1	1	1	4	2.075	2.725	3.275	0.353206462	0.323741007	0.399082569	0.312820513	0.275229358	0.34939759
R_BPWdU4LGOYPRdex	6/25/15 17:29	6/25/15 17:35	objects will fall to the left	objects will fall to the right	1	1	20	1	1		4	pbp28|pbp11b|pbp04	pbp04	objects on the left have 4 sides	objects on the right are circular	1	1	1	1	0	0	35.658	0	3	1	3	2.075	2.725	3.275	0.353206462	0.323741007	0.399082569	0.312820513	0.275229358	0.34939759
R_0APBYNL0vVYCE6h	6/26/15 11:14	6/26/15 11:22	Objects fall to left	Objects fall to right	1	1	26	2	1		3	pbp16|pbp11b|pbp04	pbp04	squares or rectangles	circles	1	1	1	1	2.699	2.699	26.752	1	3	1	4	2.075	2.725	3.275	0.353206462	0.323741007	0.399082569	0.312820513	0.275229358	0.34939759
R_2aIvSRAJOwLWrFj	6/26/15 11:21	6/26/15 11:24	Object falls left.	Object falls right.	1	1	22	1	1		4	pbp04|pbp16|pbp02	pbp04	The objects are squares.	The objects are circular.	1	1	1	1	0	0	12.511	0	1	1	3	2.075	2.725	3.275	0.353206462	0.323741007	0.399082569	0.312820513	0.275229358	0.34939759
R_emI4uA89O5Gvl3H	6/26/15 11:22	6/26/15 11:28	The objects will fall to the left	The objects will fall to the right	1	1	42	1	1		5	pbp28|pbp04|pbp02	pbp04	The objects have four sides (squares and rectangles)	The objects are circular	1	1	1	1	0	0	41.74	0	2	1	3	2.075	2.725	3.275	0.353206462	0.323741007	0.399082569	0.312820513	0.275229358	0.34939759
R_8qTqbt7iTAgJj4B	6/26/15 11:32	6/26/15 11:34	will fall to the left	will fall to the right	1	1	24	1	1		6	pbp04|pbp28|pbp02	pbp04	squares	circles	1	1	1	1	0	0	14.742	0	1	1	4	2.075	2.725	3.275	0.353206462	0.323741007	0.399082569	0.312820513	0.275229358	0.34939759
R_241xZjTpfAn3T84	6/26/15 11:42	6/26/15 11:49	all the objects will fall to the left	all the objects will fall to the right	1	1	40	1	1		6	pbp11b|pbp04|pbp24	pbp04	the objects will not move laterally	the objects will move laterally	0	0	0	0	0	0	42.908	0	2	1	3	2.075	2.725	3.275	0.353206462	0.323741007	0.399082569	0.312820513	0.275229358	0.34939759
R_1g60ebgJ1jy4CR1	6/26/15 11:50	6/26/15 11:56	The object will fall left	The object will fall right	1	1	31	2	1		5	pbp04|pbp28|pbp26	pbp04	The objects on the left are square	The objects on the right are circles	1	1	1	1	2.768	2.768	23.412	1	1	1	3	2.075	2.725	3.275	0.353206462	0.323741007	0.399082569	0.312820513	0.275229358	0.34939759
R_1rxJ2Do5colj5WR	6/26/15 11:51	6/26/15 11:57	They are positioned to fall left	They are positioned to fall right	1	1	24	2	1		5	pbp26|pbp04|pbp11b	pbp04	squares	circles	1	1	1	1	3.934	3.934	7.511	1	2	1	4	2.075	2.725	3.275	0.353206462	0.323741007	0.399082569	0.312820513	0.275229358	0.34939759
R_2QSfEl0LlylBgM5	6/26/15 12:01	6/26/15 12:13	The objects will fall to the left.	The objects will fall to the right.	1	1	58	2	1		5	pbp28|pbp11b|pbp04	pbp04	The objects move to the right.	The objects move to the left. 	0	0	0	0	0	0	49.019	0	3	1	2	2.075	2.725	3.275	0.353206462	0.323741007	0.399082569	0.312820513	0.275229358	0.34939759
R_2dowAgHZKkvXH6M	6/25/15 12:39	6/25/15 12:45	Objects will fall to the left.	Objects will fall to the right.	1	1	22	2	1		3	pbp26|pbp09|pbp13	pbp09	Objects are repelled against one another.	Objects are attracted to one another like magnet.	0	0	0	0	11.978	11.978	13.558	1	2	1	3	4.25	4.383333333	6.066666667	0.305361305	0.333676153	0.338270291	0.278136796	0.284333025	0.285384331
R_3ReJIX9PiATEUaS	6/25/15 13:41	6/25/15 13:48	The objects will fall to the left.	The objects will fall to the right.	1	1	24	2	1		5	pbp09|pbp04|pbp13	pbp09	The objects will fall in two different directions.	The objects will fall in the same direction.	1	1	1	1	0	0	90.005	0	1	1	3	4.25	4.383333333	6.066666667	0.305361305	0.333676153	0.338270291	0.278136796	0.284333025	0.285384331
R_1eOEw4kePGXtYBJ	6/25/15 13:43	6/25/15 13:48	All the objects will fall to the left	All the objects will fall towards the right. 	1	1	28	1	1		5	pbp09|pbp11b|pbp26	pbp09	Pieces fall away from each other	Pieces fall in the same direction	0	1	0	1	0.885	0.885	70.117	1	1	0	2	4.25	4.383333333	6.066666667	0.305361305	0.333676153	0.338270291	0.278136796	0.284333025	0.285384331
R_2CHeP1pzY0QMNsR	6/25/15 13:47	6/25/15 13:52	objects fall to the left	objects fall to the right	1	1	30	1	1		4	pbp28|pbp24|pbp09	pbp09	objects move away from each other	objects move towards each other	0	1	0	0	0	0	22.765	0	3	0	1	4.25	4.383333333	6.066666667	0.305361305	0.333676153	0.338270291	0.278136796	0.284333025	0.285384331
R_eg4vMip7FoGRppn	6/25/15 13:46	6/25/15 13:55	fall on left	fall on right	1	1	34	2	1		3	pbp09|pbp24|pbp13	pbp09	will fall apart together apart together	will always fall together into each other	0	1	0	0	1.963	22.827	86.912	4	1	1	3	4.25	4.383333333	6.066666667	0.305361305	0.333676153	0.338270291	0.278136796	0.284333025	0.285384331
R_2qgVdlKpIGhE2lJ	6/25/15 13:55	6/25/15 14:00	fall left	fall right	1	1	32	1	1		4	pbp04|pbp09|pbp24	pbp09	fallin apart	falling right	0	0	0	0	0	0	53.83	0	2	0	2	4.25	4.383333333	6.066666667	0.305361305	0.333676153	0.338270291	0.278136796	0.284333025	0.285384331
R_2zCIu4kBefmrpKz	6/25/15 14:14	6/25/15 14:21	All will fall to the left	All will fall to the right	1	1	26	1	1		4	pbp09|pbp19|pbp11b	pbp09	Odd numbered tiles will collide and even ones wont.	Even numbered tiles will collide and odd ones wont.	0	0	0	0	30.506	30.506	76.124	1	1	1	2	4.25	4.383333333	6.066666667	0.305361305	0.333676153	0.338270291	0.278136796	0.284333025	0.285384331
R_dmbWo4evVG8bGZH	6/25/15 14:45	6/25/15 14:55	The objects will fall to the left.	The objects will fall to the right.	1	1	51	2	1		3	pbp09|pbp04|pbp24	pbp09	They move to the right.	They move to the left.	0	0	0	0	42.053	48.901	90.01	4	1	0	2	4.25	4.383333333	6.066666667	0.305361305	0.333676153	0.338270291	0.278136796	0.284333025	0.285384331
R_3qBSCd6bHsYXuxR	6/25/15 14:55	6/25/15 15:02	fall to the left	fall to the right	1	1	35	2	1		3	pbp19|pbp04|pbp09	pbp09	mirror images	images turned	0	0	0	0	0	0	54.704	0	3	0	1	4.25	4.383333333	6.066666667	0.305361305	0.333676153	0.338270291	0.278136796	0.284333025	0.285384331
R_1oAtNT1k3yhWlMQ	6/25/15 15:11	6/25/15 15:17	The objects will all fall to the left	The objects will all fall to the right	1	1	19	1	1		3	pbp09|pbp04|pbp13	pbp09	the objects will fall in the opposite direction	the objects will fall in the same direction 	1	1	1	1	0	0	55.812	0	1	1	3	4.25	4.383333333	6.066666667	0.305361305	0.333676153	0.338270291	0.278136796	0.284333025	0.285384331
R_6VGySXo2XHAuvcJ	6/25/15 15:12	6/25/15 15:22	the objects fall to the left	the objects fall to the right	1	1	32	2	1		5	pbp19|pbp26|pbp09	pbp09	the figures are remaining at the same angles	the figures are flipping 90 degrees	0	0	0	0	4.639	4.639	90.012	1	3	0	2	4.25	4.383333333	6.066666667	0.305361305	0.333676153	0.338270291	0.278136796	0.284333025	0.285384331
R_3lYdWtUokUQCZvM	6/25/15 16:08	6/25/15 16:12	The object will fall to the left	The object will fall to the right	1	1	29	2	1		2	pbp28|pbp09|pbp16	pbp09	"The objects on the left will fall or move in different ways, not in the same way"	The objects on the right will fall or move in the same way and direction	1	1	1	1	0	0	21.035	0	2	1	3	4.25	4.383333333	6.066666667	0.305361305	0.333676153	0.338270291	0.278136796	0.284333025	0.285384331
R_2TT1xsAiCMFjaOY	6/25/15 16:19	6/25/15 16:24	the objects will fall to the left	the objects will fall to the right	1	1	20	2	1		3	pbp24|pbp18|pbp09	pbp09	the objects are going to fall in opposite directions	the objects are going to fall in the same direction	1	1	1	1	0	0	16.979	0	3	1	3	4.25	4.383333333	6.066666667	0.305361305	0.333676153	0.338270291	0.278136796	0.284333025	0.285384331
R_1H5Mg5TIy57j3TH	6/25/15 16:17	6/25/15 16:26	will fall to the left	will fall to the right	1	1	65	1	1		5	pbp18|pbp09|pbp02	pbp09	the items will move toward the center	the items will move away from the center	0	0	0	0	17.69	17.69	90.044	1	2	0	2	4.25	4.383333333	6.066666667	0.305361305	0.333676153	0.338270291	0.278136796	0.284333025	0.285384331
R_28BRDwNZxQn4Ox5	6/25/15 16:33	6/25/15 16:45	The object will fall to the left	The objects will fall to the right	1	1	33	1	1		5	pbp02|pbp11b|pbp09	pbp09	The objects in the scenes on the left will all fall in or away. 	On the right the objects are synchronized.	0	1	0	1	0	0	87.01	0	3	0	1	4.25	4.383333333	6.066666667	0.305361305	0.333676153	0.338270291	0.278136796	0.284333025	0.285384331
R_6utHr5jIqNQhxUl	6/26/15 11:15	6/26/15 11:24	all objects will fall to the left	all objects will fall to the right	1	1	29	2	1		5	pbp13|pbp02|pbp09	pbp09	No idea	no idea	0	0	0	0	0	0	89.999	0	3	0	1	4.25	4.383333333	6.066666667	0.305361305	0.333676153	0.338270291	0.278136796	0.284333025	0.285384331
R_21FK6K4Ac7yCBsp	6/26/15 11:20	6/26/15 11:32	They will fall to the left.	They will fall to the right.	1	1	58	1	1		6	pbp09|pbp16|pbp19	pbp09	1-6 will move in opposite directions.	7-12 will move in same direction.	1	1	1	1	21.096	27.478	28.468	3	1	1	4	4.25	4.383333333	6.066666667	0.305361305	0.333676153	0.338270291	0.278136796	0.284333025	0.285384331
R_5BCaWZZU1lgLEyZ	6/26/15 11:43	6/26/15 11:49	items will fall on their left side	items will fall on their right side	1	1	24	1	2	spanish	5	pbp19|pbp09|pbp13	pbp09	items will go the away from each other	items will go the same direction together	0	1	0	1	0	0	12.207	0	2	1	4	4.25	4.383333333	6.066666667	0.305361305	0.333676153	0.338270291	0.278136796	0.284333025	0.285384331
R_1DA71y7szmCiBbk	6/26/15 11:50	6/26/15 11:58	The objects will fall to the left	The objects will fall to the right	1	1	40	2	1		5	pbp09|pbp24|pbp16	pbp09	The objects fall away from each other	The objects fall close to each other	0	1	0	0	0	0	90.02	0	1	0	1	4.25	4.383333333	6.066666667	0.305361305	0.333676153	0.338270291	0.278136796	0.284333025	0.285384331
R_1eREBgtEhzMQKM5	6/26/15 11:51	6/26/15 12:00	the items will fall to the left	the items will fall to the right	1	1	24	2	1		5	pbp19|pbp16|pbp09	pbp09	the items will fall apart	the items will fall closer together	0	1	0	0	0	0	12.52	0	3	0	2	4.25	4.383333333	6.066666667	0.305361305	0.333676153	0.338270291	0.278136796	0.284333025	0.285384331
R_O2lyLIXKHVB8425	6/26/15 12:01	6/26/15 12:06	Objects will fall to the left	Objects will fall to the right	1	1	24	1	1		5	pbp24|pbp13|pbp09	pbp09	The objects will fall in opposite directions	The objects will fall in the same direction	1	1	1	1	0	0	12.016	0	3	1	4	4.25	4.383333333	6.066666667	0.305361305	0.333676153	0.338270291	0.278136796	0.284333025	0.285384331
R_vjDR0jafmKI1iVP	6/25/15 13:04	6/25/15 13:11	The objects will fall to the left	The objects will fall to the right	1	1	28	1	1		4	pbp11b|pbp04|pbp28	pbp11b	The objects join together	he objects do not join together	0	0	0	0	0	0	57.919	0	1	1	4	2.820512821	3.474358974	4.243589744	0.353970625	0.315686275	0.367098592	0.317208623	0.276858827	0.327441706
