"subject"	"condition"	"workerId"	"isRight"	"leftIsRight"	"rightIsRight"	"isPartRight"	"leftIsPartRight"	"rightIsPartRight"	"isNormRight"	"isNormLeftRight"	"isNormRightRight"	"problem"	"leftResp"	"rightResp"	"exampleSortMoves"	"sortMoves"	"sortTime"	"sortAcc"	"testAcc"	"testTime"	"aveUniqueCWordNBPercentCor"	"aveCWordLengthNBCor"	"origAcc"
"p170689"	"active"	"A3FKJH763R4T8X"	1	1	1	1	1	1	1	1	1	"pbp02"	"there is only one object in the box"	"there are two objects in the box"	14	12	50898	1	1	19720	0.322265491562479	2.6304347826087	0.875
"p172456"	"passive"	"A1LOD3LNX7FUPJ"	0	0	0	0	0	0	0	0	0	"pbp09"	"fall left"	"fall right"	19	16	38300	0.75	0.25	23586	0.285384331116038	4.25	0.285714285714286
"p17296"	"active"	"A18SHPTM2TPHAC"	1	1	1	1	1	1	1	1	1	"pbp02"	"One object"	"Two objects"	12	13	34231	0.923076923076923	1	29493	0.322265491562479	2.6304347826087	0.875
"p180758"	"active"	"AQ5OJ961CHLT8"	1	1	1	1	1	1	1	1	1	"pbp16"	"The ball stays to the left"	"The ball stays to the right"	15	16	126785	0.75	1	58647	0.355523072060683	3.21428571428571	0.478260869565217
"p182002"	"active"	"ALDQRWYZ8KQ9A"	1	1	1	1	1	1	1	1	1	"pbp02"	"one object per frame"	"two objects per frame"	12	14	39705	0.857142857142857	1	26275	0.322265491562479	2.6304347826087	0.875
"p182274"	"passive"	"A1R93MQYAFEVX1"	1	1	1	1	1	1	1	1	1	"pbp04"	"The images are of square or rectangles"	"The images are of circles"	12	14	57341	0.857142857142857	1	34067	0.349397590361446	2.075	0.625
"p187072"	"passive"	"A3NU1RI5FEZMJY"	1	1	1	1	1	1	1	1	1	"pbp16"	"Circle is left of the square"	"circle is right of the square"	13	13	49521	0.923076923076923	1	35883	0.355523072060683	3.21428571428571	0.478260869565217
"p188339"	"active"	"A1TGEFPTH2DXAN"	0	0	0	0	0	0	0	0	0	"pbp02"	"orientation"	"position on the square"	21	18	30998	0.666666666666667	0.5	29816	0.322265491562479	2.6304347826087	0.875
"p189155"	"passive"	"A2SVBQ11Z9SUGD"	0	0	0	0	0	0	0	0	0	"pbp13"	"single base piece to support the blocks"	"a base of 2 parts to support the blocks"	14	14	68571	0.857142857142857	1	36272	0.508420208500401	3.46	0.115384615384615
"p190392"	"active"	"A3675LEANIPGBO"	1	1	1	1	1	1	1	1	1	"pbp02"	"One object in the image"	"Two objects in the image"	13	13	35025	0.923076923076923	1	34695	0.322265491562479	2.6304347826087	0.875
"p190728"	"active"	"A3RKOMHCIRVN0N"	1	1	1	1	1	1	1	1	1	"pbp16"	"Circle is on the left"	"Square is on the left"	15	13	52218	0.923076923076923	1	32257	0.355523072060683	3.21428571428571	0.478260869565217
"p194422"	"passive"	"A3G7NL91BRY9JL"	1	1	1	1	1	1	1	1	1	"pbp11b"	"Closer together"	"Further apart"	16	14	100868	0.857142857142857	1	58810	0.327441706082483	2.82051282051282	0.380952380952381
"p195444"	"passive"	"A1QHJGHKDIG3T5"	0	0	0	1	1	1	0	0	0	"pbp26"	"Leaning towards the right side"	"Leaning towards the left side"	18	16	81570	0.75	0.5	36056	0.298013041338583	2.96511627906977	0.35
"p197279"	"passive"	"A3ON3DL1CKGN4E"	0	0	0	0	0	0	0	0	0	"pbp28"	"all wheel shaped even if some had spiky ends."	"if the point is to the right then it falls right if its a sharp point and the benches are the same except one has wheels so definitely on the same side"	14	17	63270	0.705882352941177	0.625	54944	0.55625	3.75	0.521739130434783
"p203112"	"active"	"A2UX9SUBTBI1X6"	0	0	0	0	0	0	0	0	0	"pbp19"	"Will have a sharp drop"	"Will not have a sharp drop"	18	16	78750	0.75	0.625	87960	0.490123456790123	3.48076923076923	0.15
"p208070"	"passive"	"A3RMV9ZGFJ0HHF"	1	1	1	1	1	1	1	1	1	"pbp16"	"circle is on the left side"	"square is on the left side"	14	13	46855	0.923076923076923	1	25476	0.355523072060683	3.21428571428571	0.478260869565217
"p210593"	"active"	"A1SO9R81HMMIQD"	0	0	0	0	0	0	0	0	0	"pbp28"	"bigger"	"smaller"	16	15	69159	0.8	0.75	38526	0.55625	3.75	0.521739130434783
"p211566"	"passive"	"AAXYYH9MI3PJM"	1	1	1	1	1	1	1	1	1	"pbp28"	"Moves"	"Doestnt move"	19	15	38716	0.8	0.5	26365	0.55625	3.75	0.521739130434783
"p212900"	"passive"	"A2TOWO0Q1ZJF4H"	1	1	1	1	1	1	1	1	1	"pbp16"	"A square follows a circle always"	"A circle follows a square always"	12	13	98522	0.923076923076923	1	46801	0.355523072060683	3.21428571428571	0.478260869565217
"p219771"	"passive"	"A14WLAP6TCEKO0"	1	1	1	1	1	1	1	1	1	"pbp16"	"The circle is always to the left of the square."	"The square is always to the left f the circle."	12	13	42279	0.923076923076923	1	24972	0.355523072060683	3.21428571428571	0.478260869565217
"p228106"	"active"	"A207O698ADORUH"	0	0	0	0	0	0	0	0	0	"pbp26"	"more rectangles"	"more triangles "	25	21	40867	0.571428571428571	0.75	30117	0.298013041338583	2.96511627906977	0.35
"p230218"	"active"	"AHXDN2WOV85X6"	1	1	1	1	1	1	0	0	0	"pbp13"	"Solid block, no gaps between blocks"	"Space in between blocks"	13	14	43744	0.857142857142857	0.75	22878	0.508420208500401	3.46	0.115384615384615
"p248960"	"passive"	"A1S7Z9K12NFJIO"	0	0	0	0	0	0	0	0	0	"pbp24"	""	""	13	19	89998	0.631578947368421	0.5	46876	0.307647058823529	4.45588235294118	0.173913043478261
"p255936"	"active"	"A00017422VMLYXUXIWZTH"	1	1	1	1	1	1	1	1	1	"pbp26"	"ball is going to roll to the right"	"ball is going to roll to the left"	13	12	61131	1	1	46761	0.298013041338583	2.96511627906977	0.35
"p257719"	"active"	"A1BZOSLWCH786"	1	1	1	1	1	1	1	1	1	"pbp04"	"All square/rectangular/angled shapes"	"All circular shapes"	15	16	71775	0.75	1	30923	0.349397590361446	2.075	0.625
"p257975"	"active"	"A32TBP2OLYWRVN"	1	1	0	1	1	0	0	0	0	"pbp19"	"falling"	"stopped"	19	19	41604	0.631578947368421	0.375	34476	0.490123456790123	3.48076923076923	0.15
"p263012"	"passive"	"A2J6WFWSKTYJQM"	0	0	0	0	0	0	0	0	0	"pbp19"	"they will clearly go that way"	"more apt to go that way"	13	16	42237	0.75	0.875	30356	0.490123456790123	3.48076923076923	0.15
"p26728"	"active"	"A2W1BNQQ1KQUDK"	0	0	0	0	0	0	0	0	0	"pbp13"	"balanced center of gravity on foundation"	"imbalanced center of gravity on foundation"	12	15	103089	0.8	0.625	33982	0.508420208500401	3.46	0.115384615384615
"p27967"	"active"	"A2ISNHM1VBXBZ2"	0	0	0	0	0	0	0	0	0	"pbp19"	"i dont know"	"i have no idea"	16	18	74857	0.666666666666667	0.375	52715	0.490123456790123	3.48076923076923	0.15
"p285705"	"passive"	"AUJINI09VX2RO"	0	0	0	0	0	0	0	0	0	"pbp24"	"the size"	"the size"	17	16	27685	0.75	0.625	26370	0.307647058823529	4.45588235294118	0.173913043478261
"p286272"	"active"	"A1Y10YJ5ZSMALG"	0	0	0	0	0	0	0	0	0	"pbp28"	"the way the lines went"	"shape of the images"	19	18	40152	0.666666666666667	0.5	31531	0.55625	3.75	0.521739130434783
"p28686"	"passive"	"AV5Z0FXAJY9RT"	0	0	0	0	0	0	0	0	0	"pbp18"	"I honestly do not know."	"I tried hard to figure it out, but have no clue!"	13	15	114062	0.8	0.5	68998	0.304831932773109	3.2375	0.208333333333333
"p287268"	"passive"	"A32Q5G8SFLKASJ"	1	1	1	1	1	1	1	1	1	"pbp11b"	"images close to each other"	"images far apart"	14	16	44919	0.75	0.875	34063	0.327441706082483	2.82051282051282	0.380952380952381
"p289846"	"active"	"A38SFGTQ2MXZ1B"	1	1	1	1	1	1	1	1	1	"pbp16"	"ball on left of box"	"ball on right of box"	12	13	39620	0.923076923076923	1	51545	0.355523072060683	3.21428571428571	0.478260869565217
"p29024"	"active"	"A2L4TBBOU86WF0"	1	1	1	1	1	1	0	0	0	"pbp09"	"moving away or towards each other"	"moving in same direction or not at all"	12	18	61602	0.666666666666667	1	30568	0.285384331116038	4.25	0.285714285714286
"p312732"	"passive"	"A2RM0PR7N05JNF"	0	0	0	1	1	1	0	0	0	"pbp18"	"Objects moved away from each other"	"Objects tried to group up"	17	19	49361	0.631578947368421	0.375	63297	0.304831932773109	3.2375	0.208333333333333
"p314287"	"active"	"A1V8MSGK7CVD8B"	1	1	1	1	1	1	1	1	1	"pbp02"	"A single shape"	"Two shapes"	12	15	52066	0.8	1	23258	0.322265491562479	2.6304347826087	0.875
"p330565"	"passive"	"A1DSUTSRTHYE6L"	1	1	1	1	1	1	0	0	0	"pbp13"	"When stacked there is no empty space between shapes"	"When stacked there is empty space between shapes."	15	13	47395	0.923076923076923	0.75	21822	0.508420208500401	3.46	0.115384615384615
"p33106"	"passive"	"A3EZWI9XJ1QHIP"	1	1	1	1	1	1	0	0	0	"pbp13"	"solid structures"	"suspended structure"	15	19	99617	0.631578947368421	0.75	56754	0.508420208500401	3.46	0.115384615384615
"p336752"	"passive"	"A1HZLFC6LAEZ6H"	1	1	1	1	1	1	1	1	1	"pbp11b"	"The shapes are close together"	"The shapes are farther apart"	14	13	57050	0.923076923076923	0.875	36571	0.327441706082483	2.82051282051282	0.380952380952381
"p340764"	"active"	"A25XAKGUXE9HWB"	0	0	0	0	0	0	0	0	0	"pbp24"	"follow numeric puzzle"	"Subtract 1"	14	19	56686	0.631578947368421	0.25	81021	0.307647058823529	4.45588235294118	0.173913043478261
"p341288"	"active"	"A1EMMXUZTPTVIK"	1	1	1	1	1	1	1	1	1	"pbp02"	"There is only one shape in each scene"	"There are two shapes in each scene"	12	14	93638	0.857142857142857	1	24299	0.322265491562479	2.6304347826087	0.875
"p342634"	"passive"	"A2F40L03OSNT13"	1	1	1	1	1	1	1	1	1	"pbp04"	"squares"	"circles"	15	15	38280	0.8	1	33961	0.349397590361446	2.075	0.625
"p34646"	"active"	"A1GLF2427E02YG"	1	1	1	1	1	1	0	0	0	"pbp09"	"Two objects fall different ways"	"Two objects fall the same way"	12	16	109239	0.75	1	48845	0.285384331116038	4.25	0.285714285714286
"p353262"	"passive"	"A2K7RVHQRCM91M"	0	0	0	0	0	0	0	0	0	"pbp26"	"The circle rises "	"The circle falls"	14	17	142796	0.705882352941177	0.625	33394	0.298013041338583	2.96511627906977	0.35
"p357739"	"active"	"A35TTZLWEA1OOF"	1	1	1	1	1	1	1	1	1	"pbp26"	"the circular object is falling from left to right"	"the circular object is falling from right to left"	13	14	49872	0.857142857142857	1	56355	0.298013041338583	2.96511627906977	0.35
"p365592"	"passive"	"A30FH1JAYWSF4O"	0	0	0	0	0	0	0	0	0	"pbp18"	"falling left"	"falling right"	14	19	63924	0.631578947368421	0.5	35681	0.304831932773109	3.2375	0.208333333333333
"p369219"	"active"	"A1FY46GF08ZKTW"	1	1	1	1	1	1	1	1	1	"pbp28"	"can easily roll"	"cannot easily roll"	13	16	114540	0.75	0.875	28124	0.55625	3.75	0.521739130434783
"p376539"	"passive"	"A23BQ4GZNFBLET"	1	1	1	1	1	1	1	1	1	"pbp18"	"Objects would stop/stay touching each other."	"Objects would stop in a position where they are not all touching."	12	16	73218	0.75	0.875	60546	0.304831932773109	3.2375	0.208333333333333
"p387814"	"passive"	"AK37IEOYWN5YH"	0	0	0	0	0	0	0	0	0	"pbp02"	"The images were a reflection of each other."	"The shapes got closer together."	17	16	47512	0.75	1	50746	0.322265491562479	2.6304347826087	0.875
"p410663"	"active"	"A3NUI0LC6EQ40A"	1	1	1	1	1	1	1	1	1	"pbp26"	"the ball goes right"	"the ball goes left"	14	16	84335	0.75	0.875	61717	0.298013041338583	2.96511627906977	0.35
"p414573"	"active"	"A16HSMUJ7C7QA7"	0	0	0	0	0	0	0	0	0	"pbp24"	"straight lines- same direction"	"crooked lines or going in 2 directions"	17	18	97171	0.666666666666667	0.75	41176	0.307647058823529	4.45588235294118	0.173913043478261
"p417639"	"active"	"A2HNXP9YXKM2EZ"	1	1	1	1	1	1	1	1	1	"pbp28"	"will roll"	"wont roll"	12	18	96190	0.666666666666667	0.875	52892	0.55625	3.75	0.521739130434783
"p418039"	"active"	"A1D0EMMFF1L9YA"	0	0	0	1	1	1	0	0	0	"pbp24"	"objects falling straight down"	"objects falling at an angle"	22	19	153027	0.631578947368421	0.25	96833	0.307647058823529	4.45588235294118	0.173913043478261
"p418705"	"active"	"A2IKPAOSL6T9CB"	1	1	1	1	1	1	1	1	1	"pbp02"	"one item"	"two items"	12	14	27808	0.857142857142857	1	20727	0.322265491562479	2.6304347826087	0.875
"p4287"	"active"	"A1489QNXV5IM6O"	1	1	1	1	1	1	1	1	1	"pbp09"	"will go in opposite direction"	"will go in same direction"	13	15	48153	0.8	1	38586	0.285384331116038	4.25	0.285714285714286
"p428771"	"passive"	"ANQSD514URR6G"	1	1	1	1	1	1	0	0	0	"pbp13"	"there were no spaces between blocks"	"there were spaces between blocks"	17	13	74102	0.923076923076923	0.75	39360	0.508420208500401	3.46	0.115384615384615
"p429322"	"passive"	"A1U6A617Q95MTZ"	0	0	0	1	1	1	0	0	0	"pbp26"	"the opposite of the side the circle would fall or roll down on"	"the circle would fall or roll right so I would categorize to the left, the opposite"	14	13	92694	0.923076923076923	0.875	57603	0.298013041338583	2.96511627906977	0.35
"p436885"	"active"	"A2NA2OJT15COZY"	0	0	0	1	1	1	0	0	0	"pbp26"	"Rightward movement."	"Leftward movement."	13	15	121384	0.8	0.625	36676	0.298013041338583	2.96511627906977	0.35
"p440979"	"active"	"A2I5ECHDAICO0R"	1	1	0	1	1	1	0	0	0	"pbp19"	"falling"	"not falling"	12	13	104184	0.923076923076923	0.875	38884	0.490123456790123	3.48076923076923	0.15
"p449323"	"passive"	"A13FZOOW6ESKNW"	1	1	1	1	1	1	0	0	0	"pbp11b"	"Touching or will touch"	"Not touching"	12	15	49701	0.8	1	33427	0.327441706082483	2.82051282051282	0.380952380952381
"p453215"	"active"	"AMYZ8WZD19W29"	0	1	0	1	1	1	0	1	0	"pbp28"	"Objects that roll smoothly"	"Objects that bounce when they roll"	12	20	109596	0.6	0.625	82099	0.55625	3.75	0.521739130434783
"p454658"	"passive"	"AR9ZC60MDS2Q"	0	0	0	0	0	0	0	0	0	"pbp24"	"to the left, I guess. I looked at the line for some of these "	"to the right. Looked at the line to decide"	15	16	62824	0.75	0.375	186608	0.307647058823529	4.45588235294118	0.173913043478261
"p458374"	"passive"	"A320QA9HJFUOZO"	1	1	1	1	1	1	1	1	1	"pbp09"	"objects fall / move in different direction"	"objects fall / move in the same direction"	12	15	67865	0.8	1	31406	0.285384331116038	4.25	0.285714285714286
"p463859"	"active"	"A2GU0ORUD7FKHN"	1	1	1	1	1	1	1	1	1	"pbp26"	"The circle would fall to the right."	"The circle would fall to the left."	15	13	69602	0.923076923076923	1	42396	0.298013041338583	2.96511627906977	0.35
"p471513"	"passive"	"A2V9WQ4ZG1NUNP"	0	0	0	0	0	0	0	0	0	"pbp26"	"mostly left facing"	"Mostly right"	20	13	21243	0.923076923076923	0.875	17865	0.298013041338583	2.96511627906977	0.35
"p478301"	"active"	"A35YFAFWP33C70"	0	0	0	0	0	0	0	0	0	"pbp09"	"Fall and seperate"	"Fall and end up together"	12	15	54101	0.8	0.5	50083	0.285384331116038	4.25	0.285714285714286
"p478708"	"active"	"AC5UD8N187QD6"	1	1	1	1	1	1	0	0	0	"pbp13"	"solid base"	"separated base"	12	13	54780	0.923076923076923	1	25763	0.508420208500401	3.46	0.115384615384615
"p488570"	"passive"	"A28S59ZCWBVNKS"	1	1	1	1	1	1	1	1	1	"pbp28"	"will roll"	"will not roll"	12	14	88000	0.857142857142857	0.75	52078	0.55625	3.75	0.521739130434783
"p491375"	"active"	"A1R4CYGI7VQ3B2"	1	1	1	1	1	1	1	1	1	"pbp16"	"circle was on the left side"	"circle was on the right side"	13	13	72744	0.923076923076923	1	25050	0.355523072060683	3.21428571428571	0.478260869565217
"p49727"	"passive"	"A35BY30TC8WCL4"	1	1	1	1	1	1	1	1	1	"pbp02"	"one object"	"two objects"	13	14	34215	0.857142857142857	1	24641	0.322265491562479	2.6304347826087	0.875
"p502632"	"passive"	"AAIZIGKRMBCVK"	1	1	1	1	1	1	1	1	1	"pbp04"	"Contained rectangles"	"Contained circles"	12	12	42004	1	1	21465	0.349397590361446	2.075	0.625
"p505046"	"passive"	"A2992K9BLAH575"	0	0	0	0	0	0	0	0	0	"pbp19"	"Higher velocity"	"Lower velocity"	13	16	147613	0.75	0.75	75944	0.490123456790123	3.48076923076923	0.15
"p506544"	"active"	"A164RBTU9AO3G7"	0	0	0	0	0	0	0	0	0	"pbp18"	"A sense of movement towards the middle"	"Movement to the sides"	14	21	93441	0.571428571428571	0.5	84610	0.304831932773109	3.2375	0.208333333333333
"p511173"	"active"	"A1HUJHCYLVWGKG"	0	0	0	0	0	0	0	0	0	"pbp18"	"I cannot figure this out"	"I cannot figure this out."	13	16	42063	0.75	0.625	64561	0.304831932773109	3.2375	0.208333333333333
"p514243"	"active"	"A2M9EE6KTM8F8I"	0	0	0	0	0	0	0	0	0	"pbp13"	"flat surface"	"pivoted on something"	15	15	38398	0.8	0.5	21932	0.508420208500401	3.46	0.115384615384615
"p519544"	"active"	"A187M09SROWOQ7"	1	1	1	1	1	1	1	1	1	"pbp04"	"Squares"	"Circles"	15	13	63036	0.923076923076923	0.875	35807	0.349397590361446	2.075	0.625
"p525386"	"passive"	"A2ZKJA0SUECICT"	1	1	1	1	1	1	1	1	1	"pbp28"	"they will continue to move"	"will not continue to move"	13	19	237157	0.631578947368421	0.875	35802	0.55625	3.75	0.521739130434783
"p529170"	"passive"	"A1HXEIZ2JHXQ16"	0	0	0	1	1	1	0	0	0	"pbp24"	"Everything was balanced naturally on straight lines."	"Things were off balance."	13	16	44655	0.75	0.625	55180	0.307647058823529	4.45588235294118	0.173913043478261
"p530007"	"active"	"A3JVLFHF518XR9"	0	0	0	0	0	0	0	0	0	"pbp19"	"i dont know"	"i dont know"	12	17	99724	0.705882352941177	0.625	83979	0.490123456790123	3.48076923076923	0.15
"p530291"	"passive"	"AN2ZKF6GXE4OO"	0	0	0	0	0	0	0	0	0	"pbp26"	"unbalanced"	"balanced"	15	18	52947	0.666666666666667	0.25	43202	0.298013041338583	2.96511627906977	0.35
"p546232"	"active"	"A2653BIPJKEMRK"	1	1	1	1	1	1	1	1	1	"pbp04"	"Squares"	"Circles"	12	13	24843	0.923076923076923	1	21537	0.349397590361446	2.075	0.625
"p547217"	"active"	"A2F6TJCXR9IXMD"	1	1	1	1	1	1	1	1	1	"pbp28"	"Rolls easily"	"Doesn't roll smoothly"	12	14	65858	0.857142857142857	1	39685	0.55625	3.75	0.521739130434783
"p556940"	"active"	"A2VDLRRPXV3N59"	1	1	1	1	1	1	0	0	0	"pbp13"	"The blocks are touching with no blank space between them."	"The blocks have some open blank space between at least some of them. "	12	16	98291	0.75	0.75	57764	0.508420208500401	3.46	0.115384615384615
"p560737"	"active"	"A2UIGDOLX5RV95"	1	1	1	1	1	1	1	1	1	"pbp11b"	"Something is or will be touching"	"nothing is or will be touching "	12	16	45940	0.75	0.875	37991	0.327441706082483	2.82051282051282	0.380952380952381
"p572452"	"passive"	"AK0PU96DYAJXN"	0	0	0	0	0	0	0	0	0	"pbp13"	"imgages are stable"	"images are unstable"	13	16	72318	0.75	0.75	64504	0.508420208500401	3.46	0.115384615384615
"p5732"	"passive"	"A3914P24XPNPY3"	0	0	0	0	0	0	0	0	0	"pbp28"	"the cogwheel shape"	"the different sort of shapes"	17	18	56000	0.666666666666667	0.625	19901	0.55625	3.75	0.521739130434783
"p575300"	"active"	"A2GM5BW75YCKKW"	0	0	0	0	0	0	0	0	0	"pbp19"	"In motion"	"Not in motion"	15	16	83825	0.75	0.625	94289	0.490123456790123	3.48076923076923	0.15
"p577681"	"active"	"A3QB0Z9AN62HFH"	0	0	0	0	0	0	0	0	0	"pbp13"	"the blacks get smaller"	"they get bigger"	19	22	72432	0.545454545454545	0.375	50508	0.508420208500401	3.46	0.115384615384615
"p587160"	"passive"	"A2EX2FN2F4HN3C"	0	0	0	0	0	0	0	0	0	"pbp11b"	"how they were falling"	"how they were falling"	15	18	45208	0.666666666666667	0.5	30782	0.327441706082483	2.82051282051282	0.380952380952381
"p59581"	"active"	"A38HODAQUKJKKS"	1	1	1	1	1	1	1	1	1	"pbp16"	"circles is always on the right"	"circle is always on the left"	18	13	47398	0.923076923076923	1	41349	0.355523072060683	3.21428571428571	0.478260869565217
"p599588"	"active"	"A423QQ5WN43B9"	0	0	0	0	0	0	0	0	0	"pbp24"	"1"	"4"	16	16	22404	0.75	0.25	15973	0.307647058823529	4.45588235294118	0.173913043478261
"p601496"	"active"	"A2CF2BD4Q0ZDJN"	0	0	0	0	0	0	0	0	0	"pbp04"	"objects on the left will not roll"	"objects on right will roll"	13	14	79803	0.857142857142857	1	50706	0.349397590361446	2.075	0.625
"p602010"	"passive"	"A1DIFV6Y4MUAFN"	0	0	0	0	0	0	0	0	0	"pbp19"	"Going left or falling straight down"	"Going right or staying still"	12	15	51176	0.8	0.625	36350	0.490123456790123	3.48076923076923	0.15
"p605834"	"passive"	"A144PI74Q8EQCW"	1	1	1	1	1	1	1	1	1	"pbp11b"	"objects spaced pretty close together"	"objects have more distance between them"	15	12	87272	1	0.875	47802	0.327441706082483	2.82051282051282	0.380952380952381
"p605870"	"passive"	"A5K76AYNR5OIH"	0	0	0	1	1	1	0	0	0	"pbp24"	"Object above centered over object below."	"Object above offset from object below."	12	19	95976	0.631578947368421	0.75	71519	0.307647058823529	4.45588235294118	0.173913043478261
"p610205"	"active"	"A1Z048705962W6"	1	1	1	1	1	1	1	1	1	"pbp26"	"Circle falling to the right"	"Circle to the left"	15	18	48299	0.666666666666667	0.25	36094	0.298013041338583	2.96511627906977	0.35
"p620961"	"passive"	"A3AOE3JLHSHEC9"	0	0	0	0	0	0	0	0	0	"pbp09"	"will touch each other"	"will not touch each other"	12	16	65263	0.75	0.5	56898	0.285384331116038	4.25	0.285714285714286
"p635377"	"passive"	"A3DHU1PM70D23E"	0	0	0	0	0	0	0	0	0	"pbp19"	"More than one movement"	"Only one motion"	12	15	135758	0.8	0.75	195495	0.490123456790123	3.48076923076923	0.15
"p637360"	"active"	"A2AU6YNUB39I9F"	1	1	1	1	1	1	0	0	1	"pbp11b"	"combination"	"separation"	16	18	48610	0.666666666666667	0.5	22016	0.327441706082483	2.82051282051282	0.380952380952381
"p637885"	"passive"	"A1TOR2L7RRFMCQ"	1	1	1	1	1	1	1	1	1	"pbp11b"	"shapes together"	"shapes apart"	19	20	69308	0.6	0.875	40012	0.327441706082483	2.82051282051282	0.380952380952381
"p646106"	"passive"	"A2T4WZ9J4YZEQK"	0	0	0	0	0	0	0	0	0	"pbp19"	"I could visualize the animation"	"Appears to fit well"	24	18	51409	0.666666666666667	0.625	35457	0.490123456790123	3.48076923076923	0.15
"p649677"	"active"	"A1GZ1OMD7YUVP6"	1	1	1	1	1	1	0	1	0	"pbp04"	" on the left the images were square"	"on the right the images were round"	18	17	52206	0.705882352941177	1	50724	0.349397590361446	2.075	0.625
"p64997"	"active"	"A2ASDRU6OOGTH6"	1	1	1	1	1	1	1	1	1	"pbp28"	"What could roll."	"What would remain stationary"	12	15	70889	0.8	0.5	52382	0.55625	3.75	0.521739130434783
"p65768"	"passive"	"A2WJGI7XNUBRND"	0	0	0	0	0	0	0	0	0	"pbp09"	"when moved went apart"	"when moved stayed together"	19	19	104124	0.631578947368421	0.375	97604	0.285384331116038	4.25	0.285714285714286
"p65882"	"passive"	"A3775X3LQOAQBF"	1	1	1	1	1	1	1	1	1	"pbp16"	"circle first"	"square first"	12	13	61682	0.923076923076923	1	27245	0.355523072060683	3.21428571428571	0.478260869565217
"p659101"	"active"	"A21SF3IKIZB0VN"	1	1	1	1	1	1	1	1	1	"pbp09"	"these move in opposite directions  when fall"	"these move in the same direction when they fall"	12	15	178372	0.8	1	70863	0.285384331116038	4.25	0.285714285714286
"p659460"	"passive"	"A2N4TBD5L6W363"	0	0	0	0	0	0	0	0	0	"pbp09"	"The objects relative positions will change horizontally"	"Objects relative positions will not change horizontally"	13	13	61859	0.923076923076923	0.75	38640	0.285384331116038	4.25	0.285714285714286
"p65960"	"passive"	"A2CJY4787IR70K"	0	0	0	0	0	0	0	0	0	"pbp09"	"The direction that the thickest part of each piece was facing or the curve of the hill"	"the direction they were leaning or the curve of the hill or guess"	12	18	60119	0.666666666666667	0.625	64515	0.285384331116038	4.25	0.285714285714286
